client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12	common_voice_el_20433052.mp3	1f6881ae7b5dd27c46db40bd005748dd18a6ef6b0df2297e898028b7b8cba550	θέλησε το Βασιλόπουλο ν' ανέβει να τον ρωτήσει		0	2	thirties	male_masculine			el	
b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12	common_voice_el_20433055.mp3	000bb71a422abd42f83714708d249015aa46b0ab44db8a728118848c2f902e70	Και της διηγήθηκε τι έλεγε το γράμμα του Λαγόκαρδου		1	2	thirties	male_masculine			el	
b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12	common_voice_el_20436984.mp3	06c37d5071cb60f2f9634cfbcf3c0610a01296d9af9c2591b3b615f2a77b9ef1	Τ' ωρολόγι μου!		1	2	thirties	male_masculine			el	
b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12	common_voice_el_20436987.mp3	2f67e516f1c88f06fef275d4007c4b41529b544f321058a68012aadb4d9cbe51	Ο Πολύκαρπος ξύπνησε με τις ομιλίες.		1	2	thirties	male_masculine			el	
a23fbf3f4936e40a4b10fd0cd5aca24e8e40b66c783a71f8863956d70504153d30b298372d9911ec6e82f62ff4aa46c53c64ccf03d919a00a900ec30533ddb40	common_voice_el_20437854.mp3	1290e737313251d54b0c58a4dd61aa4207d5940aac143b2b288ad2ce3c13399a	τον πρώτο που θα τολμήσει να ξαναπεί τέτοιο λόγο!		0	2	fourties	male_masculine			el	
a23fbf3f4936e40a4b10fd0cd5aca24e8e40b66c783a71f8863956d70504153d30b298372d9911ec6e82f62ff4aa46c53c64ccf03d919a00a900ec30533ddb40	common_voice_el_20443390.mp3	2c6c5908d413ccb749de9430537307e04b4ee5e28572679dcf5ef74647ddede5	Δεν πιστεύω.		0	2	fourties	male_masculine			el	
a23fbf3f4936e40a4b10fd0cd5aca24e8e40b66c783a71f8863956d70504153d30b298372d9911ec6e82f62ff4aa46c53c64ccf03d919a00a900ec30533ddb40	common_voice_el_20443482.mp3	2627f93ea90823cef959a0901c14cb1d1bb66dc4b5071d23b542b9dfa49c3ebb	Ο Πολύδωρος, από την πόρτα όπου στέκουνταν, είχε παρακολουθήσει όλη αυτή τη σκηνή		1	2	fourties	male_masculine			el	
b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12	common_voice_el_20446378.mp3	17c9ba2d194049b54679098895af62d7143512fabf263d7d521e948004731c11	Μήπως λοιπόν δεν είσαι αρκετά δυνατός να γίνεις εσύ αρχηγός;		0	2	thirties	male_masculine			el	
a23fbf3f4936e40a4b10fd0cd5aca24e8e40b66c783a71f8863956d70504153d30b298372d9911ec6e82f62ff4aa46c53c64ccf03d919a00a900ec30533ddb40	common_voice_el_20448814.mp3	4055bf8fd21f69cdae157979b04e07fe852f51810a5a7a424a96f91bc26df472	που ποτέ δεν μπορούσε να θυμηθεί τα πρόσωπα των ασθενών του		1	2	fourties	male_masculine			el	
a23fbf3f4936e40a4b10fd0cd5aca24e8e40b66c783a71f8863956d70504153d30b298372d9911ec6e82f62ff4aa46c53c64ccf03d919a00a900ec30533ddb40	common_voice_el_20448867.mp3	3caaebcef1ba13222974efbbcb754cd032b67f447df1f5991af45ac00dd088e3	ούτε θυμόταν να έχει περίεργες σκέψεις		0	2	fourties	male_masculine			el	
