sentence_id	sentence	sentence_domain	source
000e0c82e4c230ccda52efb17af9b137f21ab97b9bcff8195e1926bf736b8462	Παλεύομε αναμεταξύ μας		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
00156c87dede4170b56530906d08f6e87a186bfc12a77baa37e07ff9cb72f24a	της λέξης μύθος ο Σουίδας,		https://www.openbook.gr/oi-mythoi-mesa-mas/
036f7a935f4779e3099c9762dab860d880c897117480e1af1fe3bb49f0e89382	Πάμε να ξαπλωθούμε στην ακρογιαλιά		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
037f2851c70f073e5dc7e054c51443f7b40082ab1b7eb8c066949d1982b37585	Αλλά ν' ακούσεις τι εστοίχισε το χασομέρι του Κιουταχή		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
03c36d19953cbd5638bdfe367e9ff0daa1dfcc1401d121fb2124c3591e5c3ef7	Τι έγινε λέγει;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
03fa0e026c9adc4f9a9132473f2199672001fc7858924359d4c8579193f1152a	Τι σπαράγγι μου έγινες!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
0429b8662042d159a8b21787ebbeeacf61c4e935d6799150cc34ff08818e359d	Γάβγιζα, γάβγιζα με φούρκα, μήπως και φοβερίσω τους απέξω και φύγουν.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
043f5caa05f15ba7374377421ea3f678979697d2de1500447baf1700aa0b4f18	Θα μας επιτρέψεις, αδελφή Μαρίνη, ν' αποχωρήσωμεν ενωρίτερον αφ' όσον είχομεν καθορίσει		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
0444b116661f3ff714a9705338a48540de2fdc38276dbf2b72c3f4542b05d35a	Και πάλι σκάλωσαν τα δόντια μου.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
04badcfc4927fe0c2719e13467543d1538854594944cdaab4474a7728b562476	Τέτοιες δουλειές που κάνεις, δε με γρηγορεύεις, είπε		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
04d02fb6dd15450b9b2b109d33fce2ac5d66ed46b773acf855dae5409b5e2cef	Και σε δάγκασε ο Μάγκας, Περικλή;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
04d36642536afe26fddda3a4f77e637d0841a14a305be07ddcdc95ecbbf71de5	Έβρε γρήγορα τον κύριο Περικλή, και στείλε μας τον στο πλοίο, του είπε πάλι		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
04d84d991faf7ff009686cb52196c1533a4bf19dad827bce22c9a219864d11c7	Μπήκαν στη βιβλιοθήκη, και η Εύα πρόσφερε μια καρέγλα του θείου της		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
04e80036eb0ebb50e2d84b6eb2936281c8384041e59654df99582a9e304424ac	Κανείς δε με είχε μπάσει.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
07939b4e89a6a58c9ed52b15363073c73cbe9664fd3f3cb7b7dfc8e2a52feeda	Ο Πατέρας έδωσε την άδεια να κόψομε όσα λουλούδια θέλομε.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
07968fbe941efbfe7cf3b1b407a4f50096aabf9d88e10ed539f312d26b8322e5	ΓΥ αυτό σε ρώτησα, από πότε μπήκες σε ρωμέικη υπηρεσία.		public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
07baab329c6108bbe31f6cd5f41cf2a32062c12e8e7cd178524b815050d0e2e8	Μα τ' όνομα του δεν του φαίνουνταν αρκετά εξευγενισμένο		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
084d7ed8f4e1f65b1bb2bae44369d5d8760fae3672e903192a3cc0d4b607c382	Προπάντων σαν πεινά		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
0d0af6aa51604e5d1756c845e8d0696c75ed1ed76ba41aadd1be2786128826c9	Τόβαζε στα πόδια σα λαγός		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
10c2b8ef481b1afd51c84fece9aaf72e277649828e1952776a8ae5504a2448e2	Την ξέρομε αυτή, είναι στο αγγλικό μας αναγνωστικό, αναφώνησε η Άννα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
11625d3231fff3592fa216c908cd1e1f6f8fbdb9ebac994c465bd63a04d25357	Θέλησα να τρυπώσω κάτω από την καρέγλα του.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
11db032ec9dd6222aff26567cbe00c2bff763dc0291899700de15e7675ee8115	Ποιος τόκανε;		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
11e27e0f733dd328c1673370cf4094510f4912aa04841d405ee446b698ee236f	Κι εγώ, εδώ απέξω θα είμαι πάντα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
11f1df6bf2622537523ccd1ac05d57aab95227499c5f6cf28891f60983c15f5f	Και τρων τα καημένα τα μικρόπουλα στις φωλιές τους.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
123a068858f387bce7644e07cd6cbd0f38e4558e97ad2812e0a06a43e3c4f7df	Αρπώ την γκαλαμπία του, τραβώ, γρυλίζω		public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
12a52192ce4d48cebf755b8e52d9e03478df925d9b1b29a8b44694538451f1f2	Ο πιο δυνατός ή ο πιο επιτήδειος το τρώγει.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
12aafbbb1044916d63ea6fd0cd1ce86e274c6180bbbc6768ff18fa1f3c5f06b9	Σωτήριε, εν όχημα αμέσως!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
134e704ccec81d7652392ab65d2d0a5b73611e83b70f0343afa66685d7cacd3e	και τον έκανε το δυστυχή να γίνει παραγγελιοδόχος.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
13567ae6109f288ad09ea30092e39eeb82c7adfd7d35334bfb8619a3023d92ae	Και σα να το κατάλαβε, τόβαλε στα πόδια		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
137772988f9d84a238796d77049c4c475644fa7a6a41f981bda6c504de239821	Ώρα πολλή έκανα κρυμμένος		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
138b9b6aed5a2ff1afd97723a55271080a5f4a6b0ae0bfc714f8e71a745019ae	Και ξέρομε πως δεν τις έφαγε τις παλιοκουρμάδες, είπε με πείσμα η Άννα.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
1394d2b5537659dedb02daad8e12769f2d803158d5121e5e106a06d9cbda0f25	Η μητέρα λέγει πως πρέπει να γλιτώσομε μεις απ' αυτές!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
13a9a38491129322bc3f255517e010bd48a17826ba2ce85ae400a075e997c2b3	Το καθάρισα καλά το δάγκαμα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
13b999c3dbcdba13640e2e777624d2e45c0a658a177eef4f9c2af8a26010a940	Αχ, τι κρίμα που πέθανε πριν τον γνωρίσομε, ο μπαρμπα-Μανόλης!		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
13c7a2ec9ac44a0f2ff57e1f60ef350be00a3e0aac70597e3062635aa07b6036	Την περήφανη γραμμή του μετώπου.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
14117fe7bb230eaea3c0ec08930ee1be5d290c2839b8aff324e56ce520d8ab0c	Άρπαξα το πανωφόρι μου και το καπέλλο μου		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
14388af0fa4bf06b3d5c0e0f84112db66e6e6ddb9116c86d644d231a0ae7764e	Δεν ξέρω γιατί αυτό έκανε να διακοπεί η κουβέντα τους.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
14575f9a128d81ff52a8456bba1c17816aec5d42c8ea12015f26d15ce3044516	που είναι η προσπάθεια του ανθρώπου να ερμηνεύσει		https://www.openbook.gr/oi-mythoi-mesa-mas/
1464bbdb076554f554ebb23da047e5c3961d57256d7f4b43a9688cddbb78710c	Πάμε να βρούμε ποντικούς		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
149a57e76373a197180a4be968687ef9817a5bc668bc3ae33a5e587dbef7dd78	Ο Μήτσος πήρε μια καρέγλα και κάθησε.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
14a0283151813ef91b3f26da50d64bdd46d35f873f549c4c3f8e700e1abb1e5e	ναι, ναι, είναι ένα φοβερό παιδί... δεν είναι αυτά μόνο.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
150aaad260658658c02e58785c87d2a32dc7aa9843965a3207cb950d78a8e431	Ωστόσο, ας δοκιμάσομε		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
152105f1ce889ab49e9cfdded9f036890160997b2294f72f82367bdd2d9ea60b	Θα την πάρομε εμείς.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
1555e0c75f31ff5e03dac31fddc68a08c25e2f5a340d924bc783d5b091fe483b	Μα σαν θέλει, δικό του λοιπόν είναι το πιάνο.		https://www.openbook.gr/atitlo-mythistorima-maria-polydouri/
1564a6446e47f843be06762d0992d2fbc163f7b49ab971d0d3cff6bf8ef8150b	Περιττό, κύριε Λουκά, αποκρίθηκε ο Χάρης.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
15972e300261b35f9c50aba72b97dd53a05e6d6b376d4e51c14e8ed2c8556b4b	με τις τελευταίες ραγδαίες εξελίξεις και τις αποφάσεις των τελευταίων μηνών.		https://www.openbook.gr/poio-to-mellon-tis-alexandroypolis/
159961e39aabdd30a78d2b78a8cea94bd7a81644f5e5bb2f2325165700fd27d8	για μια πεντηκονταετία ερήμην των δημοτών,		https://www.openbook.gr/poio-to-mellon-tis-alexandroypolis/
161754772c2d96d7027b0224eb4d65f48241a490a61e0a80e601e96974694924	Και τωόντι, κανένας δεν ήλπιζε να γλιτώσει και να ξαναδεί το Μεσολόγγι.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
162b75778eb261d9f0752df5f4c21d2d5664e1dc87fca28e2fb36b90f76152e4	Περάσαμε σε ένα καινούργιο στάδιο γενικής παρακμής		https://www.marxists.org/ellinika/archive/pouliop/works/1937/06/popfront.htm
166d0679662a64e9a58969feaa6b9f76c74fc2f7ef8ff683e967a04288689c61	Νόμισα πως έκλαιγε και πλησίασα να δω		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
16b706f3ae8d64ac7d62f34b06e6239eb60564236ef98245b664f9ad88fb4eb6	Βλέπεις, σα δε φορείς κολάρο, δεν έχεις αφέντη που να σου δίνει σούπα		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
16eb61f5208db4b3f4b5f07c4e6a41009d4df6ab3f71c8224357669cdf55e5a2	Αυτό σε ρωτώ κι εγώ.		https://www.openbook.gr/magkas/ public domain book / ?? ???? ??? ????????? ????? ??????? ??? ????? ?????, ????? ????? ???????? 70 ??? ??? ??? ?????? ???
16ee14c3b41a6402c8d9aa3c0cd4e17e12c6a97551ad4ff340dff4adebfb02b0	και τους τραγικούς αρχαίους Έλληνες συγγραφείς.		https://www.openbook.gr/oi-mythoi-mesa-mas/
170b24298d4661747b74e1c1973e6c9db917f945f3afd31c0f64f196bf563484	καλημέρα		αυτοαναφορά
17461525725138581066ec6e0003c90340889e536750fc7f5918b418423148cb	Τα πολύτιμα αυτά συμπεράσματα		https://www.openbook.gr/oi-mythoi-mesa-mas/
